code,response,type,date
x06121221,200,historical,2023-05-15
x08140523,200,incremental,2023-06-05
x15210523,200,incremental,2023-06-05
x22280523,200,incremental,2023-06-05
x29040623,404,incremental,2023-06-05
x13190323,200,incremental,2023-06-22
x20260323,200,incremental,2023-06-22
x27020423,200,incremental,2023-06-22
x03090423,200,incremental,2023-06-22
x10160423,200,incremental,2023-06-22
x17230423,200,incremental,2023-06-22
x24300423,200,incremental,2023-06-22
x01070523,200,incremental,2023-06-22
x08140523,200,incremental,2023-06-22
x15210523,200,incremental,2023-06-22
x22280523,200,incremental,2023-06-22
x29040623,200,incremental,2023-06-22
x05110623,200,incremental,2023-06-22
x12180623,200,incremental,2023-06-22
x13190323,200,incremental,2023-06-22
x20260323,200,incremental,2023-06-22
x27020423,200,incremental,2023-06-22
x03090423,200,incremental,2023-06-22
x10160423,200,incremental,2023-06-22
x17230423,200,incremental,2023-06-22
x24300423,200,incremental,2023-06-22
x01070523,200,incremental,2023-06-22
x08140523,200,incremental,2023-06-22
x15210523,200,incremental,2023-06-22
x22280523,200,incremental,2023-06-22
x29040623,200,incremental,2023-06-22
x05110623,200,incremental,2023-06-22
x12180623,200,incremental,2023-06-22
